Catalyst key,Catalyst,Formula,Morphology
paper_1000|output_1000|chem_H_WO3,H-WO3,H-WO3,Hierarchical
paper_1012|output_1012|chem_Ru_over_Mn3O4,Ru/Mn₃O₄,,Faceted Polyhedron; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1013|output_1013|chem_Co-N4_NC,Co-N4/NC,,Particle/Cluster
paper_1013|output_1013|chem_Co-N5_NC,Co-N5/NC,,Particle/Cluster
paper_1013|output_1013|chem_CoNPs_NC,CoNPs/NC,,Particle/Cluster
paper_1014|output_1014|chem_CoP,CoP,CoP,2D Sheet; Film/Coating; Porous Network
paper_1014|output_1014|chem_Se-CoP,Se-CoP,Se-CoP,2D Sheet; Film/Coating
paper_1015|output_1015|chem_CoOOH_c,CoOOH-c,CoOOH,1D Wire/Rod/Tube; Amorphous; Crystalline; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1015|output_1015|chem_CoOOH_l,CoOOH-l,CoOOH,1D Wire/Rod/Tube; Amorphous; Crystalline; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1015|output_1015|chem_CoOOH_s,CoOOH-s,CoOOH,1D Wire/Rod/Tube; Amorphous; Crystalline; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1016|output_1016|chem_CoOOH_Co3O4,CoOOH/Co3O4,CoOOH/Co3O4,1D Wire/Rod/Tube; Particle/Cluster; Porous Network
paper_1016|output_1016|chem_CoOOH_CoSnO4,CoOOH/(CoxSn1-x)3O4,CoOOH/(Co_xSn_{1-x})_3O_4,1D Wire/Rod/Tube; Particle/Cluster; Porous Network
paper_1017|output_1017|chem_Ir_NMO_2at,NM₉₈I₂O,,1D Wire/Rod/Tube; Generic Nanostructure
paper_1017|output_1017|chem_Ir_NMO_4at,NM₉₆I₄O,,1D Wire/Rod/Tube; Generic Nanostructure
paper_1017|output_1017|chem_Ir_NMO_7at,NM₉₃I₇O,,1D Wire/Rod/Tube; Generic Nanostructure
paper_1017|output_1017|chem_NMO,NMO,NiMoO₄,1D Wire/Rod/Tube; Generic Nanostructure
paper_1018|output_1018|chem_PtMn_AC_Pt_SA_SC,PtMn_{AC}/Pt_{SA}SC,,Porous Network
paper_1018|output_1018|chem_Pt_AC_Pt_SA_SC,Pt_{AC}/Pt_{SA}SC,,Porous Network
paper_1018|output_1018|chem_Pt_AC_SC,Pt_{AC}/SC,,Porous Network
paper_1018|output_1018|chem_Pt_SA_SC,Pt_{SA}/SC,,Porous Network
paper_1019|output_1019|chem_L-Ru_Co(OH)_x,L-Ru/Co(OH)_x,,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1019|output_1019|chem_W-Ru_Co(OH)_x,W-Ru/Co(OH)_x,,Film/Coating
paper_101|output_101|chem_FeMoOOH_NF,amorphous FeMo oxyhydroxide on Ni foam,,1D Wire/Rod/Tube; Amorphous; Film/Coating; Generic Nanostructure; Particle/Cluster; Porous Network
paper_101|output_101|chem_MoOx_NF,reconstructed molybdenum oxide on Ni foam,,Porous Network
paper_1020|output_1020|chem_CuO,CuO,CuO,1D Wire/Rod/Tube; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_1020|output_1020|chem_Dy_CuO,Dy-CuO,Dy-CuO,Hollow/Core-Shell; Particle/Cluster
paper_1020|output_1020|chem_Rh_Dy_CuO,Rh@Dy-CuO,Rh@Dy-CuO,1D Wire/Rod/Tube; Porous Network
paper_1022|output_1022|chem_FSN,FSN,Fe:Ni = 2:8,1D Wire/Rod/Tube; Film/Coating
paper_1022|output_1022|chem_Ni,Ni,Ni,Particle/Cluster
paper_1022|output_1022|chem_TPP_FSN,TPP-FSN,TPP/FSN,1D Wire/Rod/Tube; Film/Coating
paper_1023|output_1023|chem_Cu-Zn@Zn,Cu-Zn@Zn,Cu-Zn multicomponent alloy,Hollow/Core-Shell; Particle/Cluster
paper_1023|output_1023|chem_bare_Zn,bare Zn,Zn,Film/Coating
paper_1024|output_1024|chem_Ir_Nb2O5-x,Ir/Nb₂O₅₋ₓ,Ir/Nb₂O₅₋ₓ,Particle/Cluster
paper_1026|output_1026|chem_M-Mo2C-Mo2N,M-Mo₂C-Mo₂N,Mo₂C-Mo₂N,2D Sheet; Particle/Cluster
paper_1026|output_1026|chem_Mo2C,Mo₂C,Mo₂C,2D Sheet; Particle/Cluster
paper_1026|output_1026|chem_Mo2C-Mo2N,Mo₂C-Mo₂N heterostructures,Mo₂C-Mo₂N,2D Sheet; Particle/Cluster
paper_1026|output_1026|chem_Mo2N,Mo₂N,Mo₂N,2D Sheet; Particle/Cluster
paper_1027|output_1027|chem_PHI_PTI,PHI/PTI,,Generic Nanostructure; Particle/Cluster
paper_1028|output_1028|chem_Ru_P_TiO2,Ru/P-TiO₂,Ru/P-TiO₂,Porous Network
paper_1028|output_1028|chem_Ru_TiO2,Ru/TiO₂,Ru/TiO₂,Particle/Cluster
paper_102|output_102|chem_Co_SalphenCOF,Co-SalphenCOF,,Amorphous; Porous Network
paper_102|output_102|chem_Ni_SalphenCOF,Ni-SalphenCOF,,Film/Coating; Particle/Cluster; Porous Network
paper_1030|output_1030|chem_Co9.0_a_c_SnSe_SnSe2,Co9.0%-a/c-SnSe/SnSe2,,1D Wire/Rod/Tube; 2D Sheet; Porous Network
paper_1030|output_1030|chem_Fe9.0_a_c_SnSe_SnSe2,Fe9.0%-a/c-SnSe/SnSe2,,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure; Porous Network
paper_1030|output_1030|chem_Ni9.0_a_c_SnSe_SnSe2,Ni9.0%-a/c-SnSe/SnSe2,,1D Wire/Rod/Tube; 2D Sheet; Porous Network
paper_1030|output_1030|chem_a_c_SnSe_SnSe2,a/c-SnSe/SnSe2,,1D Wire/Rod/Tube; 2D Sheet; Porous Network
paper_1031|output_1031|chem_CuO,CuO,CuO,Film/Coating
paper_1031|output_1031|chem_PtCu2,PtCu₂,PtCu₂,Film/Coating; Particle/Cluster
paper_1031|output_1031|chem_PtCu2_CuO,PtCu₂/CuO,PtCu₂/CuO,Film/Coating
paper_1032|output_1032|chem_CrNN,CrNN,Ni@Cr₂O₃-NiO,Particle/Cluster; Porous Network
paper_1033|output_1033|chem_Pt_111,Pt(111),Pt,Crystalline
paper_1033|output_1033|chem_Pt_111_Ni_OH_2,Pt(111)–Ni(OH)₂,Pt(111)–Ni(OH)₂,Particle/Cluster
paper_1033|output_1033|chem_Pt_polycrystalline,polycrystalline Pt,Pt,Crystalline
paper_1034|output_1034|chem_CoN/C_Co-C,CoN/C@CNE nano-assembly,CoN/C with Co-C core-shell,Hollow/Core-Shell
paper_1034|output_1034|chem_NiFe_LDH,NiFe LDH,NiFe-LDH,1D Wire/Rod/Tube; 2D Sheet; Film/Coating; Porous Network
paper_1034|output_1034|chem_pristine_NiFe_LDH,pristine NiFe LDH,NiFe-LDH,1D Wire/Rod/Tube; 2D Sheet; Film/Coating; Porous Network
paper_1035|output_1035|chem_a_Co3O4,a-Co₃O₄,Co₃O₄,Generic Nanostructure; Porous Network
paper_1035|output_1035|chem_p_Co3O4,p-Co₃O₄,Co₃O₄,Generic Nanostructure; Porous Network
paper_1036|output_1036|chem_Ir_NPs_AC,Ir NPs/AC,,Particle/Cluster
paper_1036|output_1036|chem_Ir_NPs_AC_1,Ir NPs/AC-1,,Particle/Cluster
paper_1037|output_1037|chem_cu2o,Cu₂O,Cu₂O,Faceted Polyhedron; Particle/Cluster
paper_1037|output_1037|chem_hd_eu_cu2o,HD-Eu/Cu₂O,Eu/Cu₂O,2D Sheet; Faceted Polyhedron; Particle/Cluster; Rough/Wrinkled
paper_1037|output_1037|chem_ld_eu_cu2o,LD-Eu/Cu₂O,Eu/Cu₂O,2D Sheet; Crystalline; Faceted Polyhedron; Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_1038|output_1038|chem_Ir_SAC_NiFe_LDH,Ir_{SAC}-NiFe-LDH,,2D Sheet
paper_1038|output_1038|chem_NiIr_SAA_NiFe_LDH,NiIr_{SAA}-NiFe-LDH,,2D Sheet; Particle/Cluster
paper_1039|output_1039|chem_Au_Ti_300,Au/Ti-300,Au/TiO2,1D Wire/Rod/Tube; Crystalline; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1039|output_1039|chem_Au_Ti_75,Au/Ti-75,Au/TiO2,1D Wire/Rod/Tube; Crystalline; Generic Nanostructure; Particle/Cluster; Porous Network
paper_103|output_103|chem_BP,black phosphorus,P,2D Sheet; Crystalline; Particle/Cluster
paper_1041|output_1041|chem_Co3(PO4)2,Co₃(PO₄)₂,Co₃(PO₄)₂,Crystalline; Particle/Cluster
paper_1041|output_1041|chem_Co3O4,Co₃O₄,Co₃O₄,2D Sheet; Generic Nanostructure; Particle/Cluster; Rough/Wrinkled
paper_1041|output_1041|chem_Co9S8,Co₉S₈,Co₉S₈,Particle/Cluster; Rough/Wrinkled
paper_1042|output_1042|chem_NiFeCr_NF,NiFeCr/NF,,Porous Network
paper_1042|output_1042|chem_NiFe_NF,NiFe/NF,,Porous Network
paper_1044|output_1044|chem_alpha_Co(OH)2,α-Co(OH)₂,Co(OH)₂,2D Sheet; Hierarchical; Porous Network; Rough/Wrinkled
paper_1045|output_1045|chem_Ru_P_Fe3O4_IF,Ru/P-Fe3O4@IF,Ru/P-Fe3O4,Hollow/Core-Shell
paper_1046|output_1046|chem_pd_cu_moo_x,PdCu-MoO_x,PdCu-MoO_x,Particle/Cluster
paper_1047|output_1047|chem_CoFeOxHy,Co(Fe)O_xH_y,Co(Fe)O_xH_y,Film/Coating
paper_1047|output_1047|chem_CoOxHy,CoO_xH_y,CoO_xH_y,Film/Coating
paper_1047|output_1047|chem_FeOxHy,FeO_xH_y,FeO_xH_y,Film/Coating
paper_1047|output_1047|chem_MnOxHy,MnO_xH_y,MnO_xH_y,Film/Coating
paper_1047|output_1047|chem_NiFeOxHy,Ni(Fe)O_xH_y,Ni(Fe)O_xH_y,Film/Coating
paper_1047|output_1047|chem_NiOxHy,NiO_xH_y,NiO_xH_y,Film/Coating
paper_1048|output_1048|chem_20wt_Ir_C,20 wt% Ir/C,,2D Sheet; Film/Coating
paper_1048|output_1048|chem_NiFe_LDH_NP_film,3D NiFe-LDH NP film,,1D Wire/Rod/Tube; 2D Sheet; Film/Coating; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1048|output_1048|chem_beta_Ni_OH_2_NP_film,β-Ni(OH)₂ NP film,Ni(OH)₂,Film/Coating
paper_1048|output_1048|chem_nickel_foam,pure nickel foam,Ni,Porous Network
paper_104|output_104|chem_AgPd_alloy,AgPd alloy,AgPd,Hollow/Core-Shell
paper_104|output_104|chem_NN_12,NN-12,,2D Sheet; Porous Network
paper_104|output_104|chem_Pd40Ni10Cu30P20,Pd40Ni10Cu30P20 amorphous alloy,Pd40Ni10Cu30P20,Amorphous
paper_1050|output_1050|chem_Au-Ru_hybrid_nanowires,chem_Au-Ru_hybrid_nanowires,,1D Wire/Rod/Tube
paper_1050|output_1050|chem_Pt-skin_Pt3Fe_zigzag_nanowires,chem_Pt-skin_Pt3Fe_zigzag_nanowires,,1D Wire/Rod/Tube
paper_1050|output_1050|chem_Pt3Co_hierarchical_nanowires,chem_Pt3Co_hierarchical_nanowires,,1D Wire/Rod/Tube; Hierarchical
paper_1050|output_1050|chem_PtNiCo_ultrathin_nanowires,chem_PtNiCo_ultrathin_nanowires,,1D Wire/Rod/Tube
paper_1050|output_1050|chem_PtNiPd_trimetallic_nanowires,chem_PtNiPd_trimetallic_nanowires,,1D Wire/Rod/Tube
paper_1050|output_1050|chem_PtNi_hollow,chem_PtNi_hollow,,Hollow/Core-Shell
paper_1050|output_1050|chem_PtNi_sea_sponge,chem_PtNi_sea_sponge,,Porous Network
paper_1050|output_1050|chem_PtPb_Pt_nanoplates,chem_PtPb_Pt_nanoplates,,2D Sheet
paper_1050|output_1050|chem_PtPb_nanoplates_irradiated,chem_PtPb_nanoplates_irradiated,,2D Sheet
paper_1051|output_1051|chem_ML_beta_Ni(OH)2_NS_CC,ML β-Ni(OH)₂ NS/CC,Ni(OH)₂,2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1051|output_1051|chem_SL_alpha_Ni(OH)2_NS_CC,SL α-Ni(OH)₂ NS/CC,Ni(OH)₂,2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1052|output_1052|chem_Pt_WO3_CFC,Pt/WO3@CFC,Pt/WO3,1D Wire/Rod/Tube; Crystalline; Generic Nanostructure; Particle/Cluster
paper_1052|output_1052|chem_Pt_def-WO3_CFC,Pt/def-WO3@CFC,Pt/WO3,1D Wire/Rod/Tube; Crystalline; Generic Nanostructure; Particle/Cluster
paper_1053|output_1053|chem_CoP,CoP,CoP,2D Sheet
paper_1053|output_1053|chem_EG-CoP,EG-CoP,,2D Sheet
paper_1053|output_1053|chem_EG-Pt_CoP_0.5,EG-Pt/CoP-0.5,,Particle/Cluster
paper_1053|output_1053|chem_EG-Pt_CoP_1.0,EG-Pt/CoP-1.0,,Particle/Cluster
paper_1053|output_1053|chem_EG-Pt_CoP_1.5,EG-Pt/CoP-1.5,,2D Sheet; Particle/Cluster
paper_1053|output_1053|chem_EG-Pt_CoP_3.0,EG-Pt/CoP-3.0,,Particle/Cluster
paper_1053|output_1053|chem_Pt_CoP_0.5,Pt/CoP-0.5,,Particle/Cluster
paper_1053|output_1053|chem_Pt_CoP_1.0,Pt/CoP-1.0,,Particle/Cluster
paper_1053|output_1053|chem_Pt_CoP_1.5,Pt/CoP-1.5,,2D Sheet; Particle/Cluster
paper_1053|output_1053|chem_Pt_CoP_3.0,Pt/CoP-3.0,,Particle/Cluster
paper_1054|output_1054|chem_Pt,Pt,Pt,Amorphous; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_1054|output_1054|chem_Pt3Ni3NWs_C,Pt3Ni3NWs/C,,Faceted Polyhedron; Particle/Cluster; Porous Network
paper_1054|output_1054|chem_Ru_C2N,Ru nanoparticles anchored on a nitrogenated holey 2D carbon structure,,2D Sheet; Crystalline; Faceted Polyhedron; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_1055|output_1055|chem_NiFe_LDH,NiFe LDH,NiFe LDH,2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1055|output_1055|chem_NiFe_LDH_PMo12,NiFe LDH-PMo12,NiFe LDH-PMo12,2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1056|output_1056|chem_CoOOH_nanosheets,CoOOH nanosheets,CoOOH,2D Sheet
paper_1056|output_1056|chem_CuO,CuO,CuO,Particle/Cluster
paper_1056|output_1056|chem_a_Co,a-Co,CoOOH,2D Sheet
paper_1056|output_1056|chem_a_CuCo,a-CuCo,CoO_xH_y (Cu-doped),Amorphous; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster
paper_1058|output_1058|chem_Pt@TiN,Pt@TiN,Pt@TiN,Hollow/Core-Shell; Particle/Cluster
paper_1058|output_1058|chem_Pt@TiN-V_N,Pt@TiN-V_N,Pt@TiN-V_N,Hollow/Core-Shell; Particle/Cluster; Rough/Wrinkled
paper_1058|output_1058|chem_TiN,TiN,TiN,Particle/Cluster; Porous Network
paper_1059|output_1059|chem_CoP_NPC,CoP/NPC,CoP/NPC,1D Wire/Rod/Tube; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1059|output_1059|chem_FeP_CoP_NPC,FeP-CoP/NPC,FeP-CoP/NPC,Crystalline; Film/Coating; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_1059|output_1059|chem_FeP_NPC,FeP/NPC,FeP/NPC,Porous Network
paper_1059|output_1059|chem_Ru_FeP_CoP_NPC,Ru-FeP-CoP/NPC,Ru-FeP-CoP/NPC,1D Wire/Rod/Tube; Particle/Cluster; Porous Network
paper_1060|output_1060|chem_CoHCF,cobalt hexacyanoferrate,,Porous Network
paper_1060|output_1060|chem_Co_Fe_hollow_cage,chem_Co_Fe_hollow_cage,,Hollow/Core-Shell
paper_1060|output_1060|chem_Ni_Fe_Se_cage,chem_Ni_Fe_Se_cage,,Hollow/Core-Shell
paper_1062|output_1062|chem_Ti3C2Tx,Ti3C2Tx,Ti₃C₂Tₓ,2D Sheet; Generic Nanostructure; Rough/Wrinkled
paper_1063|output_1063|chem_Cu3P_Ni2P_CF,Cu₃P/Ni₂P@CF,Cu₃P/Ni₂P,1D Wire/Rod/Tube; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1064|output_1064|chem_CeO2_CC,CeO2/CC,CeO2,2D Sheet; Film/Coating; Hollow/Core-Shell; Particle/Cluster
paper_1064|output_1064|chem_CeO2_CoSe2_CC,CeO2@CoSe2/CC,CeO2@CoSe2,1D Wire/Rod/Tube; Film/Coating; Hollow/Core-Shell; Particle/Cluster
paper_1064|output_1064|chem_CeO2_CoSe2_CC_0.2,CeO2@CoSe2/CC-0.2,CeO2@CoSe2,1D Wire/Rod/Tube; Film/Coating; Hollow/Core-Shell; Particle/Cluster
paper_1064|output_1064|chem_CeO2_CoSe2_CC_1,CeO2@CoSe2/CC-1,CeO2@CoSe2,1D Wire/Rod/Tube; Film/Coating; Hollow/Core-Shell; Particle/Cluster
paper_1064|output_1064|chem_CoCH_CC,CoCH/CC,,1D Wire/Rod/Tube; Film/Coating; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster
paper_1064|output_1064|chem_CoSe2_CC,CoSe2/CC,CoSe2,1D Wire/Rod/Tube; Array/Aligned; Generic Nanostructure; Hierarchical; Hollow/Core-Shell; Particle/Cluster
paper_1065|output_1065|chem_NiFe_Ce_LDH,NiFe-Ce LDH,NiFeCe(OH)x,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure
paper_1065|output_1065|chem_Ni_Ce_LDH,Ni-Ce LDH,NiCe(OH)x,2D Sheet
paper_1065|output_1065|chem_Ni_Fe_LDH,Ni-Fe LDH,NiFe(OH)x,2D Sheet
paper_1067|output_1067|chem_Ce_m_Ni(OH)2@NiSe2,Ce⋅m⋅Ni(OH)₂@NiSe₂,Ce-m-Ni(OH)₂@NiSe₂,2D Sheet; Faceted Polyhedron; Hollow/Core-Shell; Particle/Cluster
paper_1068|output_1068|chem_Li_NiFe_LDH,Li-NiFe LDHs,Li-NiFe-LDH,2D Sheet; Flower/Urchin/Dendrite; Particle/Cluster; Rough/Wrinkled
paper_1068|output_1068|chem_NiFe_LDH,NiFe LDHs,NiFe-LDH,2D Sheet; Flower/Urchin/Dendrite; Generic Nanostructure; Particle/Cluster
paper_106|output_106|chem_NiFe_HS,NiFe-HS,,2D Sheet; Crystalline
paper_106|output_106|chem_NiFe_LS,NiFe-LS,,2D Sheet
paper_1072|output_1072|chem_CoP,CoP,CoP,1D Wire/Rod/Tube; 2D Sheet; Array/Aligned; Crystalline; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1072|output_1072|chem_Pt_CoP,Pt/CoP,Pt/CoP,2D Sheet; Array/Aligned; Particle/Cluster; Porous Network
paper_1073|output_1073|chem_CoFeO,CoFeO,CoFeO,Crystalline; Generic Nanostructure; Particle/Cluster
paper_1073|output_1073|chem_a_CoFeO_PO4,a-CoFeO-PO₄,CoFeO·PO₄,Amorphous; Crystalline; Generic Nanostructure; Particle/Cluster
paper_1074|output_1074|chem_CF,CF,Cu,Porous Network
paper_1074|output_1074|chem_CoFe_LDH_CF,CoFe-LDH/CF,CoFe-LDH,2D Sheet
paper_1074|output_1074|chem_Cu3P_CoFe_LDH_CF,Cu₃P@CoFe-LDH/CF,Cu₃P@CoFe-LDH,2D Sheet
paper_1075|output_1075|chem_CoFe_Ni2P,CoFe-Ni₂P,CoFe-Ni₂P,Porous Network
paper_1075|output_1075|chem_Co_Ni2P,Co-Ni₂P,Co-Ni₂P,Porous Network
paper_1075|output_1075|chem_Fe_Ni2P,Fe-Ni₂P,Fe-Ni₂P,Porous Network
paper_1075|output_1075|chem_Ni2P,Ni₂P,Ni₂P,Porous Network
paper_1076|output_1076|chem_CoMoO_HT,CoMoO-HT,"β-CoMoO4, α-CoMoO4",2D Sheet; Generic Nanostructure; Porous Network
paper_1076|output_1076|chem_CoMoO_P,CoMoO-P,CoMoO4-P,2D Sheet; Generic Nanostructure; Porous Network
paper_1076|output_1076|chem_pre_CoMoO,pre-CoMoO,"CoMoO4·0.75H2O, CoMoO4·0.9H2O",Generic Nanostructure; Porous Network
paper_1077|output_1077|chem_Pt,Pt,Pt,Film/Coating; Particle/Cluster
paper_1077|output_1077|chem_Pt-Bi_ir,Pt-Bi_ir,Pt-Bi_ir,Film/Coating
paper_1078|output_1078|chem_Co0.5Ir0.5_CAEN,Co_{0.5}Ir_{0.5-CAEN},Co_{0.5}Ir_{0.5}/C,Particle/Cluster
paper_1078|output_1078|chem_Fe0.5Ir0.5_CAEN,Fe_{0.5}Ir_{0.5-CAEN},Fe_{0.5}Ir_{0.5}/C,Particle/Cluster
paper_1078|output_1078|chem_Ir_CA,Ir_CA,,Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_1078|output_1078|chem_Ir_CAEN_1000_6,Ir_CAEN-1000-6,Ir/C,Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_1078|output_1078|chem_commercial_Ir_C,commercial Ir/C,Ir/C,Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_1079|output_1079|chem_feooh_nife_ldhs,FeOOH@NiFe LDHs,,2D Sheet; Flower/Urchin/Dendrite
paper_1079|output_1079|chem_nife_ldhs,NiFe LDHs,,2D Sheet
paper_1079|output_1079|chem_pt_feooh_nife_ldhs,Pt/FeOOH@NiFe LDHs,,2D Sheet; Hollow/Core-Shell; Particle/Cluster
paper_1079|output_1079|chem_pt_nife_ldhs,Pt/NiFe LDHs,,2D Sheet
paper_107|output_107|chem_NiOxHy_FTO,NiOxHy / FTO electrode,NiOxHy,Film/Coating; Porous Network
paper_107|output_107|chem_Ni_foil,Ni foil electrode,Ni,Film/Coating; Porous Network
paper_107|output_107|chem_nanoporous_NiOxHy_Ni_foam,nanoporous NiOxHy / Ni foam,NiOxHy,Film/Coating; Porous Network
paper_1080|output_1080|chem_ICM,ICM,Ir-CoMn2O4,Generic Nanostructure; Particle/Cluster
paper_1080|output_1080|chem_ICM_activated,ICM_activated,IrOx/γ-MnO2,Particle/Cluster; Rough/Wrinkled
paper_1081|output_1081|chem_Co3O4_carbon,Co3O4-carbon porous nanowire arrays,,1D Wire/Rod/Tube; Array/Aligned; Porous Network
paper_1081|output_1081|chem_FeCo_alloy_NG,FeCo alloy nanoparticles coated in N-doped graphene layers,,Film/Coating; Particle/Cluster
